org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
네이버,109.71 (1%),117.14 (2%),228.05 (2%),173.27 (2%),75.62 (2%),50.39 (1%),79.52 (2%),102.03 (2%)
니오,1.40 (0%),,0.69 (0%),0.69 (0%),,,,0.70 (0%)
도우인시스,0.70 (0%),0.69 (0%),2.08 (0%),1.38 (0%),0.74 (0%),,,0.70 (0%)
두산로보틱스,10.48 (0%),11.78 (0%),28.42 (0%),18.56 (0%),10.38 (0%),12.40 (0%),8.60 (0%),12.58 (0%)
디지타임스,6.99 (0%),3.47 (0%),10.40 (0%),6.19 (0%),,,0.72 (0%),0.70 (0%)
레노버,21.66 (0%),18.02 (0%),27.73 (0%),12.38 (0%),5.19 (0%),3.10 (0%),2.87 (0%),4.89 (0%)
리벨리온,9.08 (0%),7.62 (0%),11.09 (0%),6.19 (0%),5.93 (0%),2.33 (0%),4.30 (0%),5.59 (0%)
리오토,6.29 (0%),6.24 (0%),5.55 (0%),1.38 (0%),0.74 (0%),0.78 (0%),0.72 (0%),1.40 (0%)
마이크로소프트,23.06 (0%),78.33 (1%),124.77 (1%),73.57 (1%),8.15 (0%),13.95 (0%),36.54 (1%),41.23 (1%)
메타,44.32 (0%),80.59 (1%),172.57 (1%),127.58 (1%),26.99 (0%),7.28 (0%),56.37 (1%),76.32 (1%)
미디어텍,6.99 (0%),8.32 (0%),15.94 (0%),14.44 (0%),7.41 (0%),3.88 (0%),10.03 (0%),11.88 (0%)
바이두,2.10 (0%),4.16 (0%),10.40 (0%),4.13 (0%),1.48 (0%),,2.15 (0%),2.80 (0%)
벤츠,14.68 (0%),19.41 (0%),22.87 (0%),15.81 (0%),5.93 (0%),1.55 (0%),4.30 (0%),4.89 (0%)
비보,40.53 (0%),20.79 (0%),54.76 (0%),58.44 (1%),20.76 (0%),3.10 (0%),3.58 (0%),8.39 (0%)
삼성디스플레이,1320.76 (15%),754.01 (11%),1323.15 (9%),453.39 (6%),272.45 (5%),104.19 (2%),127.13 (4%),303.77 (5%)
삼성전자,3157.06 (17%),2198.69 (15%),4724.46 (15%),2684.21 (17%),3132.21 (30%),1192.24 (13%),1654.26 (22%),3572.31 (27%)
샤오미,116.81 (1%),80.92 (1%),250.11 (1%),182.43 (2%),101.30 (2%),84.33 (2%),52.27 (1%),104.76 (1%)
샤오펑,6.29 (0%),6.93 (0%),12.48 (0%),5.50 (0%),3.71 (0%),3.88 (0%),2.15 (0%),6.99 (0%)
샤프,23.76 (0%),11.09 (0%),35.35 (0%),11.00 (0%),11.86 (0%),12.40 (0%),0.72 (0%),13.28 (0%)
선익시스템,26.55 (0%),11.78 (0%),39.51 (0%),5.50 (0%),1.48 (0%),4.65 (0%),2.87 (0%),5.59 (0%)
세미파이브,3.49 (0%),4.16 (0%),4.85 (0%),1.38 (0%),0.74 (0%),0.78 (0%),1.43 (0%),2.10 (0%)
소니,35.64 (0%),23.57 (0%),58.22 (0%),37.13 (1%),24.46 (1%),25.58 (1%),7.16 (0%),30.05 (1%)
아마존,18.06 (0%),43.14 (1%),80.59 (0%),50.06 (1%),6.97 (0%),6.37 (0%),24.40 (1%),27.08 (0%)
아이씨디,15.37 (0%),5.55 (0%),31.19 (0%),2.06 (0%),,3.10 (0%),3.58 (0%),1.40 (0%)
알파벳,0.70 (0%),20.10 (0%),33.96 (0%),20.63 (0%),,,10.03 (0%),9.78 (0%)
애플,1266.44 (7%),1020.64 (7%),2102.66 (7%),1932.83 (13%),606.11 (6%),212.33 (3%),401.30 (6%),592.92 (5%)
엔비디아,201.80 (1%),358.44 (2%),643.95 (2%),378.65 (2%),97.92 (1%),52.06 (1%),173.20 (2%),233.09 (2%)
오포,45.42 (1%),22.87 (0%),56.14 (0%),55.01 (1%),22.24 (0%),3.88 (0%),6.45 (0%),12.58 (0%)
원익IPS,11.88 (0%),6.24 (0%),42.28 (0%),4.81 (0%),5.93 (0%),3.88 (0%),7.16 (0%),11.88 (0%)
인텔,158.39 (2%),123.73 (2%),237.70 (1%),99.32 (1%),33.08 (1%),20.03 (0%),39.54 (1%),48.42 (1%)
카카오,31.28 (0%),44.21 (1%),101.61 (1%),72.32 (1%),37.33 (1%),47.71 (1%),40.88 (1%),38.32 (1%)
퀄컴,104.16 (1%),93.42 (1%),213.22 (1%),160.26 (1%),86.99 (1%),36.88 (1%),64.75 (1%),87.53 (1%)
텐센트,2.10 (0%),8.32 (0%),18.02 (0%),8.94 (0%),1.48 (0%),,4.30 (0%),4.19 (0%)
폭스바겐,19.57 (0%),38.12 (1%),35.35 (0%),26.82 (0%),9.64 (0%),12.40 (0%),13.61 (0%),12.58 (0%)
하이센스,124.39 (1%),83.18 (1%),304.29 (2%),121.70 (2%),124.55 (3%),201.56 (5%),51.58 (2%),206.85 (3%)
하이얼,23.06 (0%),22.18 (0%),81.10 (1%),37.82 (1%),20.76 (0%),39.54 (1%),17.91 (1%),36.34 (1%)
한미반도체,14.68 (0%),13.86 (0%),54.07 (0%),11.69 (0%),9.64 (0%),1.55 (0%),12.18 (0%),20.27 (0%)
한화,85.51 (1%),147.93 (2%),218.94 (1%),74.35 (1%),24.26 (0%),161.03 (3%),30.58 (1%),35.79 (0%)
한화솔루션,5.59 (0%),4.85 (0%),16.64 (0%),1.38 (0%),,,2.15 (0%),
한화시스템,21.34 (0%),17.09 (0%),54.54 (0%),17.76 (0%),8.71 (0%),2.73 (0%),11.78 (0%),17.23 (0%)
현대모비스,36.34 (0%),38.82 (1%),83.87 (1%),39.19 (1%),21.50 (0%),18.61 (0%),12.18 (0%),20.27 (0%)
현대자동차,41.23 (0%),43.67 (1%),81.10 (1%),39.19 (1%),23.72 (0%),13.18 (0%),25.79 (1%),29.35 (0%)
현대차,239.51 (2%),227.92 (2%),425.70 (2%),264.37 (2%),126.40 (2%),56.65 (1%),104.70 (2%),179.94 (2%)
화웨이,70.22 (1%),48.90 (1%),122.26 (1%),80.85 (1%),37.25 (1%),8.29 (0%),16.08 (0%),24.65 (0%)
