org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
인텔,,0.83 (0%),,0.75 (0%),2.19 (0%),1.37 (0%),1.42 (0%),1.42 (0%),,2.05 (0%),3.56 (0%),
카카오,,,,,2.19 (0%),4.79 (1%),5.69 (1%),4.27 (1%),1.64 (0%),4.79 (1%),12.80 (1%),0.70 (0%)
퀄컴,,10.80 (4%),,3.75 (1%),8.76 (2%),13.01 (3%),13.51 (2%),10.67 (2%),,8.90 (2%),17.78 (2%),
텐센트,,0.83 (0%),,1.50 (1%),0.73 (0%),0.68 (0%),0.71 (0%),2.13 (0%),,1.37 (0%),,0.70 (0%)
폭스바겐,,,,0.75 (0%),0.73 (0%),0.68 (0%),0.71 (0%),1.42 (0%),,1.37 (0%),2.84 (0%),1.40 (0%)
하이센스,3.73 (3%),,,,9.49 (2%),,4.98 (1%),5.69 (1%),4.09 (1%),3.42 (1%),4.98 (1%),2.81 (1%)
하이얼,1.86 (2%),,,,5.11 (1%),1.37 (0%),0.71 (0%),2.84 (1%),0.82 (0%),1.37 (0%),,1.40 (0%)
한미반도체,0.93 (1%),,,1.50 (1%),,2.05 (1%),3.56 (1%),2.84 (1%),2.45 (1%),4.79 (1%),11.38 (1%),
한화,,2.49 (1%),,6.00 (2%),2.19 (0%),3.42 (1%),4.27 (1%),,1.64 (0%),2.05 (0%),3.56 (0%),
한화솔루션,,,2.22 (0%),3.00 (1%),1.46 (0%),,2.84 (0%),3.56 (1%),1.64 (0%),3.42 (1%),6.40 (1%),
한화시스템,,,,,1.46 (0%),2.74 (1%),2.84 (0%),2.84 (1%),0.82 (0%),2.74 (1%),6.40 (1%),0.70 (0%)
현대모비스,,,89.95 (11%),,10.22 (2%),8.90 (2%),14.93 (2%),12.80 (2%),,15.06 (3%),24.89 (3%),13.34 (3%)
현대자동차,,4.15 (1%),,2.25 (1%),2.19 (0%),2.74 (1%),2.84 (0%),7.11 (1%),,5.48 (1%),9.96 (1%),
현대차,,14.96 (5%),,,9.49 (2%),10.95 (3%),11.38 (2%),14.93 (3%),9.00 (2%),10.27 (2%),30.58 (4%),
화웨이,,5.70 (2%),,4.29 (1%),8.35 (1%),7.04 (2%),7.32 (1%),8.13 (1%),,,3.25 (0%),5.62 (1%)
