org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
사진,2,1,1,0,1,0,0
살짝,2,1,1,0,1,0,0
삼성,11,10,12,9,14,11,8
삼성전자,16,11,14,13,18,11,12
상의,2,2,2,5,3,0,2
생산,3,4,2,3,4,4,5
생산라인,2,2,4,5,3,0,2
샤프,1,1,4,5,3,1,2
선보였다.,2,1,1,0,3,1,0
선생님,0,2,1,1,2,0,0
선행,4,3,4,2,3,5,1
설비,1,1,4,5,3,1,2
설정,0,2,1,1,3,2,0
설치,1,5,3,2,2,3,3
성황리에,2,1,1,0,3,1,0
세계,1,1,4,5,3,1,2
세금,0,2,1,1,2,0,0
세로,0,2,1,1,3,2,0
소재,2,2,3,5,4,2,3
솔루션,7,7,4,7,8,8,9
수도,3,1,2,0,2,1,0
수익성,1,3,1,2,2,1,3
수준이다.,3,2,2,0,2,1,2
스마트폰,4,3,2,2,4,4,4
스테인리스,2,2,3,5,4,2,3
시리즈,1,5,3,2,2,5,3
신동빈,2,2,2,5,3,0,2
신상품,0,2,1,1,2,0,0
신성이엔지,3,4,4,4,4,3,5
신제품,1,5,3,2,2,5,3
신형,0,3,2,1,2,3,1
신호등,2,1,1,0,2,2,0
실장,3,1,2,0,2,1,0
실적,1,3,1,2,2,1,3
아산캠퍼스,2,2,2,5,3,0,2
아이들,2,1,1,0,3,1,0
안내,2,1,1,0,2,2,0
안자,0,2,1,1,2,0,0
안전운전,2,1,1,0,2,2,0
알려졌다.,1,1,1,0,3,1,1
알케론,2,2,3,1,2,1,2
앞두고,2,1,1,0,2,2,0
애널리스트,3,2,2,0,2,1,2
약정,1,4,2,2,2,2,1
양사,4,3,2,4,4,4,4
양산,2,2,4,5,3,0,2
양자회담,3,1,2,0,2,1,0
에너지,4,3,2,4,4,4,4
에스파,2,1,1,0,1,0,0
엔씨패밀리존,2,2,3,1,2,1,2
여성,1,1,1,0,3,1,1
연결된,0,2,1,1,3,2,0
연휴,2,1,1,0,2,2,0
열린,2,2,2,5,3,0,2
영상,1,4,2,2,2,2,1
영업이익,1,3,1,2,2,1,3
옆커폰,1,4,2,2,2,2,1
예술제,2,1,1,0,3,1,0
예약,2,2,3,1,2,1,2
오는,2,2,3,1,2,1,2
온수기,1,5,3,2,2,3,3
올레드,2,2,2,5,3,0,2
외교,3,1,2,0,2,1,0
외국인,2,2,3,1,2,1,2
요금제,1,4,2,2,2,2,1
원UI,0,2,1,1,3,2,0
원가,2,2,3,5,4,2,3
위기,1,1,4,5,3,1,2
위한,7,2,4,2,7,3,5
유럽,0,3,2,1,2,3,1
유엔총회,3,1,2,0,2,1,0
유출,4,1,3,2,3,1,3
유치,4,1,3,2,3,1,3
은상,1,5,3,2,2,3,3
의견,3,2,2,0,2,1,2
의사결정,1,1,4,5,3,1,2
이날,3,2,2,0,6,2,1
이는,3,2,2,0,2,1,2
이모지,2,1,1,0,1,0,0
이번,9,11,7,8,13,12,10
이보미,1,1,1,0,3,1,1
이용자,2,1,1,0,2,2,0
이재명,3,1,2,0,2,1,0
이재용,2,2,2,5,3,0,2
이차전지,3,4,2,3,4,4,5
이클립스,0,3,2,1,2,3,1
인기,2,2,3,1,2,1,2
인력,4,1,3,2,3,1,3
인바,2,2,3,5,4,2,3
인스타그램에,2,1,1,0,1,0,0
인재,4,1,3,2,3,1,3
인터넷,1,1,1,0,3,1,1
일본,5,5,9,11,8,2,6
일정,3,1,2,0,2,1,0
있는,5,4,9,9,7,0,5
있다.,24,34,30,35,37,25,31
있도록,2,1,1,0,2,2,0
있었다.,3,1,1,0,4,2,2
작업,0,2,1,1,3,2,0
장비,6,8,6,7,8,7,10
저가,3,2,5,4,4,0,3
저시력자,4,3,4,2,3,5,1
저장,1,4,2,2,2,2,1
적용돼,0,3,2,1,2,3,1
적용해,1,5,3,2,2,3,3
전기,1,5,3,2,2,3,3
전기차,0,3,2,1,2,3,1
전략,0,3,2,1,2,3,1
전용,0,3,2,1,2,3,1
전체,0,2,1,1,3,2,0
전통,2,1,1,0,3,1,0
전했다.,2,1,1,0,3,1,0
전환,1,1,4,5,3,1,2
절반으로,2,2,3,5,4,2,3
점유율,5,4,9,9,7,0,5
정보,3,1,1,0,4,2,2
정부,4,1,3,2,3,1,3
정책,7,2,4,2,7,3,5
제공하,4,3,4,2,3,5,1
제공한다.,2,10,6,4,4,8,6
제조,3,4,2,3,4,4,5
제품,8,10,12,8,9,8,7
조화,1,5,3,2,2,3,3
좋아할,0,1,0,1,2,1,0
주가,6,6,6,4,6,4,7
주요,3,4,4,4,4,3,5
주행,0,3,2,1,2,3,1
중국,5,4,9,9,7,0,5
지난,9,6,6,7,9,5,6
지원,1,4,2,2,2,2,1
청년,3,1,1,0,4,2,2
청년들,3,1,1,0,4,2,2
청년정책,3,1,1,0,4,2,2
체감할,1,4,2,2,2,2,1
추가,1,4,2,2,2,2,1
추석,2,1,1,0,2,2,0
출력,1,5,3,2,2,5,3
출하량,3,2,5,4,4,0,3
충전,0,3,2,1,2,3,1
카리나,2,1,1,0,1,0,0
칼로,3,2,2,0,2,1,2
캠페인,2,2,3,1,2,1,2
컷에서,2,1,1,0,1,0,0
콘셉트,4,3,4,2,3,5,1
콜라보,3,1,1,0,4,2,2
크게,1,3,1,2,2,1,3
크로스,0,3,2,1,2,3,1
크롬북,1,5,3,2,2,5,3
테슬라,3,2,2,0,2,1,2
텐아시아,2,1,1,0,1,0,0
통합,4,3,2,4,4,4,4
통해,6,5,5,5,6,5,6
투자,9,7,8,7,9,5,8
판매,0,2,1,1,2,0,0
패널,7,11,12,17,12,5,10
패키징,3,4,4,4,4,3,5
편의성,1,5,3,2,2,3,3
평균,3,2,2,0,2,1,2
폐쇄적,1,1,4,5,3,1,2
포맷,1,5,3,2,2,5,3
포스코퓨처엠,4,3,2,4,4,4,4
포즈로,2,1,1,0,1,0,0
포함,0,2,1,1,2,0,0
프로그램,1,4,2,2,2,2,1
프로맥스,1,4,2,2,2,2,1
피규어,0,2,1,1,2,0,0
하이센스,3,2,5,4,4,0,3
학부모,2,1,1,0,3,1,0
한미반도체,4,3,2,4,4,4,4
함께,2,1,1,0,3,1,0
핵심,2,2,3,5,4,2,3
혁신,1,1,4,5,3,1,2
화면,0,2,1,1,3,2,0
확인할,2,1,1,0,2,2,0
회장,6,5,4,7,7,4,6
회전,0,2,1,1,3,2,0
효과,1,3,1,2,2,1,3
후성,3,4,2,3,4,4,5
흉기로,1,1,1,0,3,1,1
흑자,1,3,1,2,2,1,3
