type,sentence,url,date
INVEST,앞차와의 거리와 속도를 계산해 안전 거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯해 ▲차선 이탈 조향 보조 시스템 ▲후방 교차 충돌 제동 보조 ▲전방 교차 충돌 제동 보조 ▲차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등 다양한 첨단 주행 안전 보조 시스템들이 운전자의 안전과 편의성을 한층 강화했다.,https://www.econovill.com/news/articleView.html?idxno=710960,2025-09-11
LAUNCH,2026년형 연식 변경을 적용한 최신 사양으로 전 세계에서 가장 먼저 한국 시장에 출시됐다.,https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
INVEST,앞차와의 거리와 속도를 계산해 안전 거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯해 ▲차선 이탈 조향 보조 시스템 ▲후방 교차 충돌 제동 보조 ▲전방 교차 충돌 제동 보조 ▲차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등 다양한 첨단 주행 안전 보조 시스템들이 운전자의 안전과 편의성을 한층 강화했다.,https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
REGUL,BYD 코리아는 BYD 씨라이언 7을 기다려온 고객들의 불편과 부담을 최소화하기 위해 국고보조금의 예상 상당액인 180만 원을 선제적으로 지원한다.,https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
REGUL,이를 통해 아직 국고보조금 산정이 완료 전임에도 신속한 출고가 가능하도록 했다.,https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
REGUL,BYD코리아는 국고보조금이 최종 확정된 이후 발생하는 차액도 추가로 제공할 예정이다.,https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
REGUL,"BYD 씨라이언 7의 권장소비자가격은 4,490만 원(환경친화적 자동차 세제 혜택 적용 후, 전기차 보조금 미포함)이다.",https://biz.heraldcorp.com/article/10573528?ref=naver,2025-09-11
LAUNCH,"디인포메이션에 따르면, 아마존은 2026년 말이나 2027년 초에 제이호크를 출시할 계획이다.",https://www.digitaltoday.co.kr/news/articleView.html?idxno=591142,2025-09-11
LAUNCH,"한편, 아마존은 2023년 3세대 에코 프레임(Echo Frame) 스마트 글래스를 출시했지만, 메타의 레이밴 제품과 비교해 기능이 부족한 것으로 평가됐다.",https://www.digitaltoday.co.kr/news/articleView.html?idxno=591142,2025-09-11
LAUNCH,"2026년형 BYD 씨라이언 7 전세계에서 처음으로 국내에 출시, 10일부터 고객 인도 세심한 마감과 동 가격대 최소 수준 사양으로 탁월한 상품성 제공 고객 불편과 부담 최소화 위해 예상 국고보조금 상당액인 180만원 선지원 [중앙이코노미뉴스 송태원] BYD코리아가 자사의 순수 전기 중형 SUV BYD 씨라이언 7(BYD SEALION 7)의 고객 인도를 시작한다고 밝혔다.",https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
REGUL,"2026년형 BYD 씨라이언 7 전세계에서 처음으로 국내에 출시, 10일부터 고객 인도 세심한 마감과 동 가격대 최소 수준 사양으로 탁월한 상품성 제공 고객 불편과 부담 최소화 위해 예상 국고보조금 상당액인 180만원 선지원 [중앙이코노미뉴스 송태원] BYD코리아가 자사의 순수 전기 중형 SUV BYD 씨라이언 7(BYD SEALION 7)의 고객 인도를 시작한다고 밝혔다.",https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
LAUNCH,2026년형 연식 변경을 적용한 최신 사양으로 전 세계에서 가장 먼저 한국 시장에 출시됐다.,https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
INVEST,앞차와의 거리와 속도를 계산해 안전 거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯해 ▲차선 이탈 조향 보조 시스템 ▲후방 교차 충돌 제동 보조 ▲전방 교차 충돌 제동 보조 ▲차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등 다양한 첨단 주행 안전 보조 시스템들이 운전자의 안전과 편의성을 한층 강화했다.,https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
REGUL,BYD 코리아는 BYD 씨라이언 7을 기다려온 고객들의 불편과 부담을 최소화하기 위해 국고보조금의 예상 상당액인 180만 원을 선제적으로 지원한다.,https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
REGUL,이를 통해 아직 국고보조금 산정이 완료 전임에도 신속한 출고가 가능하도록 했다.,https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
REGUL,BYD코리아는 국고보조금이 최종 확정된 이후 발생하는 차액도 추가로 제공할 예정이다.,https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
REGUL,"BYD 씨라이언 7의 권장소비자가격은 4,490만 원(환경친화적 자동차 세제 혜택 적용 후, 전기차 보조금 미포함)이다.",https://www.joongangenews.com/news/articleView.html?idxno=449650,2025-09-11
INVEST,"단순한 법적 의무 이행을 넘어, 기업이 개인정보 보호를 ‘비용’이 아닌 ‘전략적 투자이자 기본 책무’로 인식하도록 제도를 전면 개편하겠다는 구상이다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,11일 개인정보위는 서울 정부청사에서 ‘개인정보 안전관리체계 강화방안 브리핑’을 개최하고 이같은 내용을 공개했다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
REGUL,"기업은 개인정보 보호 분야 인력과 예산을 일정 기준 이상 확보해야 하며, CEO는 최종 책임을, CPO는 연 1회 이사회 보고 의무와 법적 권한을 갖는다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"또 공공기관에만 적용되던 ‘개인정보 영향평가’를 민간으로 확대해, 신규 서비스 출시 단계에서부터 개인정보 침해 위험을 줄이도록 했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
INVEST,"■'韓 경제 재도약' 150조 국민성장펀드 조성...생산적 금융 대전환 물꼬 정부가 150조원 규모의 ‘국민성장펀드’를 조성해 인공지능(AI), 반도체, 바이오 등 첨단전략산업에 대한 대규모 투자를 추진한다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"금융위원회는 10일 기획재정부, 과학기술정보통신부, 산업통상자원부, 중소벤처기업부, 지방시대위원회 등 관계부처, 산업계, 금융권, 벤처·창업기업 등이 참석한 가운데 ‘국민성장펀드 국민보고대회’를 개최하고 펀드 조성과 운용전략을 발표했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
INVEST,"금융위원회는 10일 기획재정부, 과학기술정보통신부, 산업통상자원부, 중소벤처기업부, 지방시대위원회 등 관계부처, 산업계, 금융권, 벤처·창업기업 등이 참석한 가운데 ‘국민성장펀드 국민보고대회’를 개최하고 펀드 조성과 운용전략을 발표했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
INVEST,국민성장펀드는 정부가 주도하는 ‘첨단전략산업기금’ 75조원과 금융회사·연기금·국민이 참여하는 민간자금 75조원으로 구성된다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
INVEST,"5년간 총 150조원이 AI, 반도체, 바이오, 백신, 방산, 수소, 이차전지, 디스플레이, 로봇, 미래차 등 10대 첨단산업 밸류체인 전반에 집중 투자된다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
INVEST,"정부는 첨단기술 기업에 대한 지분투자, 펀드조성, 인프라 투융자, 초저리 대출 등 다양한 방식으로 지원할 방침이다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
CERT,이번 주총은 대전지법이 윤 부회장과 콜마홀딩스가 낸 임시주총 소집허가 가처분 신청을 인용한 데 따른 것이다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
REGUL,이번에 공급되는 GDDR7은 미국의 대중국 반도체 수출 통제 규제를 피하기 위해 엔비디아가 성능을 조정한 AI 가속기 B40의 핵심 부품으로 사용된다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,엔비디아는 9일 영상 제작과 소프트웨어 코딩에 특화된 AI 반도체 루빈 CPX를 공개하며 GDDR7 탑재 계획을 밝혔다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"루빈 CPX는 내년에 출시될 차세대 AI 반도체 '루빈 플랫폼' 설계를 기반으로 한 칩으로, 고대역폭메모리(HBM)가 아닌 128기가바이트(GB) GDDR7이 탑재된다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"■'두께 5.6mm' 초슬림폰 '아이폰 에어' 공개...팀 쿡 ""게임 체인저 될 것"" 애플이 역대 가장 얇은 아이폰인 '아이폰 에어'를 공개했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"애플은 9일(현지시간) 본사가 있는 미 캘리포니아주 쿠퍼티노 애플 파크 내 스티브 잡스 시어터에서 연례 신제품 공개 행사를 열고 아이폰 에어와 아이폰17 시리즈, 애플워치11과 애플워치 울트라3, 에어팟3 프로 등 신제품을 공개했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,지난 5월 삼성전자가 출시한 갤럭시 S25 엣지(두께 5.8mm·무게 163g)과 비교해도 얇다.,https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"지난 2022년 생성형 AI인 ChatGPT 출시 이후 OpenAI는 전 세계적으로 폭발적인 성장을 이어오며, 최근 주간 활성 사용자 수가 7억명을 돌파했다.",https://www.ebn.co.kr/news/articleView.html?idxno=1678226,2025-09-11
LAUNCH,"샤페론, 세계 최초 GPCR19 타깃 원형탈모 치료제 전임상 효능 포스터 발표 - 기사 스크랩 - 공유 - 댓글 - 클린뷰 - 프린트 유럽피부과학회서 글로벌 협력 추진 샤페론은 오는 17일 프랑스 파리에서 개최되는 2025 유럽피부과학회(EADV)에서 원형탈모증(Alopecia Areat) 치료제 후보물질(SH1010337)의 최신 전임상 연구 결과를 포스터로 발표할 예정이라고 11일 밝혔다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"이번 발표에서는 해당 후보물질의 독창적인 작용기전과 함께, 사람 머리카락을 활용한 발모 촉진(모발 신장) 시험 결과, 그리고 원형탈모증 동물 모델에서 경쟁 약물대비 우수한 치료 효과를 입증한 내용이 포함된다.",https://www.hankyung.com/article/202509117385i,2025-09-11
CERT,"현재까지 원형탈모증 치료제로 일부 JAK 억제제가 승인됐으나, 많은 환자들은 여전히 국소 스테로이드제나 면역요법 등 비승인(off-label) 치료에 의존하고 있다.",https://www.hankyung.com/article/202509117385i,2025-09-11
CERT,"승인된 JAK 억제제 또한 일정 수준의 효과는 확인됐지만, 복용을 중단하면 재발 위험이 높고 장기 안전성 우려와 높은 약가 문제로 인해 지속 가능한 치료 대안으로는 한계가 있다는 평가를 받고 있다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"이번 발표는 글로벌 제약사, 투자자 등과의 기술이전 협력 기회를 확대하는 계기가 될 것이라는 게 회사 측 설명이다.",https://www.hankyung.com/article/202509117385i,2025-09-11
INVEST,"이번 발표는 글로벌 제약사, 투자자 등과의 기술이전 협력 기회를 확대하는 계기가 될 것이라는 게 회사 측 설명이다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"샤페론 관계자는 “원형탈모 치로제의 전임상 연구 성과를 글로벌 무대에서 처음 공개하는 의미 있는 자리로, 이번 발표가 환자에게 안전하고 장기적인 치료 대안을 제공하는데 큰 역할을 할 것”이라며 “글로벌 제약사와의 조기 기술이전을 추진해 빠른 사업화와 시장 선점을 이루겠다”고 말했다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"김유림 기자 youforest@hankyung.com 이번 발표에서는 해당 후보물질의 독창적인 작용기전과 함께, 사람 머리카락을 활용한 발모 촉진(모발 신장) 시험 결과, 그리고 원형탈모증 동물 모델에서 경쟁 약물대비 우수한 치료 효과를 입증한 내용이 포함된다.",https://www.hankyung.com/article/202509117385i,2025-09-11
CERT,"현재까지 원형탈모증 치료제로 일부 JAK 억제제가 승인됐으나, 많은 환자들은 여전히 국소 스테로이드제나 면역요법 등 비승인(off-label) 치료에 의존하고 있다.",https://www.hankyung.com/article/202509117385i,2025-09-11
CERT,"승인된 JAK 억제제 또한 일정 수준의 효과는 확인됐지만, 복용을 중단하면 재발 위험이 높고 장기 안전성 우려와 높은 약가 문제로 인해 지속 가능한 치료 대안으로는 한계가 있다는 평가를 받고 있다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"이번 발표는 글로벌 제약사, 투자자 등과의 기술이전 협력 기회를 확대하는 계기가 될 것이라는 게 회사 측 설명이다.",https://www.hankyung.com/article/202509117385i,2025-09-11
INVEST,"이번 발표는 글로벌 제약사, 투자자 등과의 기술이전 협력 기회를 확대하는 계기가 될 것이라는 게 회사 측 설명이다.",https://www.hankyung.com/article/202509117385i,2025-09-11
LAUNCH,"샤페론 관계자는 “원형탈모 치로제의 전임상 연구 성과를 글로벌 무대에서 처음 공개하는 의미 있는 자리로, 이번 발표가 환자에게 안전하고 장기적인 치료 대안을 제공하는데 큰 역할을 할 것”이라며 “글로벌 제약사와의 조기 기술이전을 추진해 빠른 사업화와 시장 선점을 이루겠다”고 말했다.",https://www.hankyung.com/article/202509117385i,2025-09-11
REGUL,"하반기 정책추진계획 기자간담회 모두발언 ""직원별 맞춤형 이전 컨설팅 제공"" ""북극항로 TF, 직접 총괄 관리 나선다"" 전재수 해양수산부 장관이 ""12월까지 해수부 부산이전을 완수하겠다""고 공언했습니다.",https://news.bbsi.co.kr/news/articleView.html?idxno=4046648,2025-09-11
REGUL,"전 장관은 오늘 정부세종청사 해양수산부 대회의실에서 하반기 정책 추진계획 브리핑 모두발언에서 ""10월부터 내부 공사에 착수할 계획""이라면서 이 같이 밝혔습니다.",https://news.bbsi.co.kr/news/articleView.html?idxno=4046648,2025-09-11
INVEST,"이와 함께 ""해사법원과 동남권투자공사 관련 법률도 국회 논의 중에 있다""면서 법원행정처, 금융위원회 등과 협력해 실질적인 효과가 발생토록 지원하겠다고 설명했습니다.",https://news.bbsi.co.kr/news/articleView.html?idxno=4046648,2025-09-11
PARTNERSHIP,"해운·항만·해사 분야에 대해서는 ""AI 자율운항선박 시장을 선점할 수 있도록핵심기술 개발 R&D의 예타면제를 조속히 추진하겠다""며 ""오는 11월 광양항에 테스트베드 조성을 본격 착공하고 글로벌 녹색해운항로 협력을 위해 덴마크·싱가포르와도 MOU를 올해 체결하겠다""고 강조했습니다.",https://news.bbsi.co.kr/news/articleView.html?idxno=4046648,2025-09-11
LAUNCH,코어이미징이 SCM FAIR 2025에서 Baumer 멀티코드 리더기 시리즈를 공개했다.,https://www.hellot.net/news/article.html?no=105207,2025-09-11
INVEST,"콜에이전시가 광고 마케팅, 커머스 플랫폼 구축, 투자 매칭, 정부지원 IR, MVP 모델 컨설팅 등 스타트업 전 주기를 포괄하는 통합 서비스를 새롭게 론칭했다고 11일 밝혔다.",https://www.cbci.co.kr/news/articleView.html?idxno=521279,2025-09-11
INVEST,"업체측에 따르면, 콜에이전시는 투자 매칭과 IR(기업설명회) 컨설팅 서비스도 함께 운영 중이다.",https://www.cbci.co.kr/news/articleView.html?idxno=521279,2025-09-11
INVEST,"국내외 투자 네트워크와 연계하여 스타트업의 자금 조달 기회를 확대하며, 정부지원 사업에 특화된 IR 자료 제작과 MVP(최소 기능 제품) 모델 수립을 위한 전문 컨설팅 매칭을 제공하고 있다.",https://www.cbci.co.kr/news/articleView.html?idxno=521279,2025-09-11
LAUNCH,"또한, 정기적으로 IR 컨설팅 및 투자 피칭 코칭 프로그램을 운영하고 있으며, 스타트업이 발표 역량을 강화할 수 있도록 실전 중심의 지원을 진행 중이다.",https://www.cbci.co.kr/news/articleView.html?idxno=521279,2025-09-11
INVEST,"또한, 정기적으로 IR 컨설팅 및 투자 피칭 코칭 프로그램을 운영하고 있으며, 스타트업이 발표 역량을 강화할 수 있도록 실전 중심의 지원을 진행 중이다.",https://www.cbci.co.kr/news/articleView.html?idxno=521279,2025-09-11
PARTNERSHIP,"시는 2023년 11월 드론작전사령부와 공동으로 개최한 드론전력화 발전 방안 세미나를 시작으로 올해는 육군 정보통신학교와 드론 및 대드론체계 발전세미나를 개최하고, 최근 현안 관심사로 떠오른 육군 대드론 체계의 산실인 육군 방공학교와 MOU를 체결하는 등 군 정책과 방향을 맞춰 협력하고 있다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
REGUL,"시는 2023년 11월 드론작전사령부와 공동으로 개최한 드론전력화 발전 방안 세미나를 시작으로 올해는 육군 정보통신학교와 드론 및 대드론체계 발전세미나를 개최하고, 최근 현안 관심사로 떠오른 육군 대드론 체계의 산실인 육군 방공학교와 MOU를 체결하는 등 군 정책과 방향을 맞춰 협력하고 있다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
PARTNERSHIP,"포천시는 군과의 협력은 물론 (사)한국대드론산업협회 등 산업계의 핵심적인 5개 협회와 MOU를 체결, 지난 7월에는 (사)밀리테크협회와 공동으로 군산학연 관계자 300여 명이 참석한 전술드론 우위 확보 방안 세미나를 개최했다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
INVEST,"포천시는 전국 최대규모의 Test-bed와 연계한 운용성 중심의 차별화된 민군겸용 피지컬 AI 시험평가센터 구축, AR/VR 기반의 최첨단 드론교육훈련센터, MRO 센터 유치, R&D 연구소 유치, 첨단산업단지 조성 복합 추진을 통해 실증, 연구, R&D, 교육이 모두 가능한 거점 조성을 추진하며 다양한 성과를 얻고 있다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
INVEST,"지난 4월에는 서울대학교 지능형 무인이동체 경기북부 연구센터, 7월에는 파인브이티 전자전 및 보안연구소 등 국립대학연구소를 비롯한 4개 기업의 부설연구소를 유치하는 성과를 거두었으며, 11월에는 추가로 방산기업의 연구소가 포천시에 입주할 예정이다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
INVEST,"시 관계자는 “경기북부의 신성장산업의 전환이 필요한 시점에 드론쇼 코리아를 비롯한 다양한 민군 산학연 박람회 및 세미나에 참여하며 홍보해 왔고, 방위산업 R&D 지원기반은 경기도 국방벤처센터 유치가 핵심”이라며, “포천시가 경기북부 방위산업 성장에 앞장설 것”이라고 밝혔다.",https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
INVEST,포천시는 오는 18일 경기도 국방벤처센터 유치 추진단 발족을 통해 본격적인 유치경쟁에 나설 계획이다.,https://www.jeonmae.co.kr/news/articleView.html?idxno=1184069,2025-09-11
INVEST,"향후, 공공클라우드 데이터센터, SK 데이터센터 유치와 정보보호클러스터 조성을 통해 디지털 인프라망을 확대해 나간다.",https://www.joongdo.co.kr/web/view.php?key=20250911010004352,2025-09-11
REGUL,"이러한 예외 규정들은 과거 산업화 시대의 특수성과 영세 사업주의 경영 부담을 덜어주려는 정책적 고려에서, 혹은 농업 노동 등 특정 노동 형태의 특징을 고려한다는 취지로 시작되었다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
CERT,"그러나 고용허가제는 허가받은 업종 이외의 취업은 금지하고 있기에, B씨는 불법 사업장 이탈 및 미등록 이주노동의 유혹에 이끌리게 된다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
CERT,"가짜 5인 미만 사업장, 날림으로 승인된 감시·단속 근로자, 이름뿐인 관리·감독자는 우리 사회가 시급히 마주하고 해결해야 할 적용제외 제도의 민낯이다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
REGUL,"영세 사업장의 경영상의 어려움은 노동자의 권리를 희생시키는 방식이 아니라 사회보험료 지원, 세제 혜택 등 국가의 정책적 지원을 통해 해결해야 할 문제이다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
CERT,"* 객관적 경영 지표: 사업장의 총 근로자 수, 최근 3년간의 매출 규모, 영업이익률, 부채 비율, 동종업계 평균과의 비교 등 * 사업주의 생계 수준: 사업주의 소득 및 재산 상태, 부양가족, 질병 여부 등 개인적인 상황 * 업무의 실질적 내용: 근로자가 실제로 수행하는 업무의 강도, 난이도, 위험성, 자율성, 감정노동의 수준 등 * 근무 형태의 특수성: 근로시간 산정이 객관적으로 어려운 재량적 업무인지, 업무 시간의 대부분이 실질적으로 자유로운 이용이 보장된 대기시간으로 구성되는지 여부 * 근로자에 대한 보상 정도: 근로자에 대한 금전적 보상(임금) 수준이 불이익하지 않은지 여부, 최소한의 휴게시간과 휴일이 보장되는지 여부 이러한 다면적이고 입체적인 심의를 통해 ""근로기준법의 특정 조항을 전면 적용할 경우 사업의 존속이 현저히 위태롭거나, 노동자가 수행하는 업무의 특수성이 특정 조항의 적용을 배제할 합리적 이유가 있다고 인정되는 경우""에 한해서만 한시적인 적용제외를 승인하는 것이다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
CERT,"첫째, 적용제외 승인에는 2~3년의 유효기간을 두어, 기간 만료 시 사업주는 위원회의 재심사를 통해 갱신 여부를 결정받도록 해야 한다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
CERT,"둘째, 해당 사업장에서 근무 중인 근로자 과반수의 동의 또는 노동조합의 신청이 있을 경우 언제든지 위원회가 재심의를 열어 적용제외 승인을 중지하거나 변경할 수 있도록 해야 한다.",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003163719&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2025-09-11
LAUNCH,"11일 국회 보건복지위원회 소속 김예지 국민의힘 의원이 공개한 자료에 따르면, 지난 2022년부터 올해 7월까지 의료기기 불법광고는 총 1만2314건으로 집계됐다.",https://www.kukinews.com/article/view/kuk202509110134,2025-09-11
