org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
메타,11.93 (1%),7.11 (1%),,,8.21 (1%),11.68 (2%),5.64 (2%),5.04 (1%),11.25 (2%),6.45 (1%),,,,
미디어텍,6.32 (1%),7.82 (1%),,,,4.38 (1%),,5.04 (1%),5.25 (1%),6.45 (1%),3.04 (1%),,4.50 (2%),
비보,,1.42 (0%),0.86 (0%),,2.05 (0%),5.11 (1%),0.81 (0%),1.44 (0%),0.75 (0%),,,,,3.47 (1%)
삼성디스플레이,56.86 (6%),22.05 (4%),,,35.59 (6%),33.59 (5%),,16.57 (4%),,,47.17 (9%),36.54 (8%),,48.52 (8%)
삼성전자,192.76 (14%),177.91 (20%),,145.19 (13%),126.34 (14%),138.11 (14%),,,,,128.82 (16%),111.46 (16%),,170.23 (18%)
샤오미,,5.69 (1%),,,7.53 (1%),11.68 (2%),4.03 (1%),6.48 (2%),6.75 (1%),,,,6.00 (3%),9.01 (1%)
샤프,3.51 (0%),,,,6.84 (1%),8.03 (1%),2.42 (1%),2.88 (1%),,,9.13 (2%),5.56 (1%),,6.93 (1%)
선익시스템,7.02 (1%),2.13 (0%),,,1.37 (0%),,,0.72 (0%),,0.81 (0%),3.80 (1%),0.79 (0%),,2.77 (0%)
소니,7.02 (1%),3.56 (1%),,,5.48 (1%),5.11 (1%),,5.04 (1%),,,4.56 (1%),,3.00 (1%),5.55 (1%)
아마존,2.11 (0%),2.13 (0%),3.43 (2%),3.48 (0%),,2.92 (0%),,4.32 (1%),3.00 (1%),,,,4.50 (2%),
아이씨디,12.64 (1%),3.56 (1%),,,2.05 (0%),,,,,2.42 (0%),6.85 (1%),3.18 (1%),1.50 (1%),4.85 (1%)
알파벳,14.74 (2%),11.38 (2%),8.57 (4%),,10.27 (2%),16.79 (3%),4.84 (2%),,13.51 (3%),8.06 (2%),,,,
애플,88.72 (8%),48.40 (7%),,,98.15 (14%),124.23 (16%),,,66.56 (12%),,61.02 (9%),56.94 (10%),,74.12 (10%)
엔비디아,20.61 (2%),15.87 (2%),11.08 (5%),6.82 (1%),11.25 (2%),20.58 (3%),,,16.74 (3%),12.31 (2%),,,,
오포,,2.84 (0%),0.86 (0%),,2.74 (0%),6.57 (1%),0.81 (0%),2.16 (1%),0.75 (0%),,,,,6.24 (1%)
원익IPS,8.42 (1%),3.56 (1%),,,1.37 (0%),,,0.72 (0%),0.75 (0%),2.42 (0%),5.33 (1%),,,2.77 (0%)
인텔,2.81 (0%),4.27 (1%),,,2.05 (0%),1.46 (0%),,1.44 (0%),1.50 (0%),4.03 (1%),,1.59 (0%),,
카카오,11.93 (1%),3.56 (1%),,,5.48 (1%),4.38 (1%),,,3.75 (1%),15.32 (3%),3.04 (1%),,,6.24 (1%)
퀄컴,16.85 (2%),24.39 (4%),,,9.39 (1%),12.52 (2%),,10.71 (2%),,13.82 (2%),,10.89 (2%),,24.56 (3%)
폭스바겐,3.51 (0%),2.84 (0%),,,,1.46 (0%),,2.88 (1%),1.50 (0%),,,1.59 (0%),1.50 (1%),1.39 (0%)
하이센스,3.51 (0%),,,,4.79 (1%),5.11 (1%),4.03 (1%),,3.75 (1%),,5.33 (1%),,3.00 (1%),4.16 (1%)
하이얼,,1.42 (0%),,,2.74 (0%),2.92 (0%),2.42 (1%),,3.75 (1%),,1.52 (0%),,1.50 (1%),2.08 (0%)
한미반도체,9.83 (1%),8.53 (1%),,,,2.19 (0%),,1.44 (0%),3.75 (1%),8.06 (2%),5.33 (1%),,,3.47 (1%)
한화,4.21 (0%),1.42 (0%),,1.16 (0%),1.37 (0%),,,,,0.81 (0%),2.28 (0%),3.18 (1%),,1.39 (0%)
한화시스템,6.32 (1%),2.13 (0%),,,2.74 (0%),2.19 (0%),,,2.25 (0%),7.25 (1%),1.52 (0%),,,3.47 (1%)
현대모비스,24.57 (3%),12.09 (2%),,94.02 (12%),,,,10.09 (3%),9.75 (2%),23.38 (5%),,9.53 (2%),,11.78 (2%)
현대자동차,2.81 (0%),4.27 (1%),1.71 (1%),,3.42 (1%),5.11 (1%),,2.16 (1%),,2.42 (0%),,2.38 (1%),,
현대차,27.38 (3%),,,,12.32 (2%),15.33 (2%),,11.53 (3%),,24.99 (5%),12.17 (2%),11.12 (2%),,15.94 (3%)
화웨이,,4.53 (1%),1.09 (0%),,3.49 (0%),8.37 (1%),2.05 (1%),3.67 (1%),1.91 (0%),,,,,11.47 (1%)
